,id,y_true,prob_rf_seed_1_skf_1_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,class_rf_seed_1_skf_1_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced
57,602,0,0.4023025541735819,0
58,125,0,0.2631792277971023,0
59,914,0,0.35283034283261544,0
60,379,0,0.14612321466631242,0
61,1292,0,0.38602225394659095,0
62,755,0,0.20099914409140582,0
63,216,0,0.19623205251898607,0
64,386,0,0.2832957412862537,0
65,748,0,0.20318621693537375,0
66,276,0,0.26453182421092436,0
67,4,0,0.33885870617032576,0
68,66,0,0.3635608921862055,0
69,242,0,0.2436926685932583,0
70,1079,0,0.07363090873437074,0
71,644,0,0.16065312086560127,0
72,1017,0,0.3767429976099273,0
73,162,1,0.6407153284745357,1
74,804,1,0.8137588919014146,1
75,1100,0,0.26565717895885077,0
76,365,0,0.334387495807271,0
77,595,0,0.2477852322919664,0
78,1345,0,0.03753270085918455,0
79,138,0,0.2736217955249304,0
80,1117,1,0.5643460555245617,1
81,1239,0,0.21066256686084742,0
82,1376,0,0.33073752182219823,0
83,28,0,0.22521420861903546,0
84,371,0,0.23352942790066908,0
85,308,0,0.03489883514034275,0
86,1318,0,0.42308959370993915,0
87,1228,0,0.21635260261113112,0
88,662,1,0.5936170841362326,1
89,1025,0,0.11466280088603378,0
90,921,1,0.8083850268101062,1
91,700,1,0.7910149688717115,1
92,924,1,0.712265377824337,1
93,898,0,0.10608480833541865,0
94,110,0,0.18837963253509715,0
95,274,0,0.32329699498925785,0
96,1331,0,0.3396411187553061,0
97,970,0,0.0653825820252028,0
98,674,0,0.14385929080066706,0
99,78,1,0.48857756624903836,0
100,1301,0,0.6484888891626168,1
101,136,0,0.16594191240755632,0
102,114,0,0.06114689597008806,0
103,1371,0,0.06794014008287011,0
104,153,0,0.4685901494221023,0
105,1185,0,0.3107988926895328,0
106,842,1,0.7413981005428859,1
107,685,0,0.20975288360596211,0
108,263,0,0.433093678415343,0
109,1111,0,0.18857987022903594,0
110,639,0,0.6981798766418852,1
111,246,0,0.45565106166407376,0
112,778,0,0.24584214159785983,0
113,337,0,0.3284440945539721,0
114,344,0,0.2812559096914137,0
115,1286,0,0.2832392407317308,0
116,111,0,0.2699059332162525,0
117,467,0,0.02937967590532977,0
118,696,0,0.08363715576637407,0
119,1178,0,0.4285216166433136,0
120,15,1,0.26736286393793207,0
121,737,0,0.07287425897475577,0
122,1223,0,0.2409843075982431,0
123,257,0,0.22376262873986877,0
124,736,1,0.5643460555245617,1
125,149,1,0.5103751786002158,1
126,776,0,0.3577218591798289,0
127,989,0,0.33913154695070624,0
128,1200,0,0.0989516965193735,0
129,325,0,0.39670843371980924,0
130,695,0,0.3078811399908498,0
131,482,0,0.12615536663852928,0
132,1213,0,0.33619572640599243,0
133,328,0,0.3207282096913487,0
134,1080,0,0.34016040768632333,0
135,336,0,0.03185345702271461,0
136,268,0,0.33115318173228286,0
137,600,0,0.23498460389465536,0
138,562,0,0.15411096509190733,0
139,800,0,0.02742395213557575,0
140,1247,0,0.3646734057721233,0
141,839,0,0.5354920161632882,1
142,673,0,0.3335647539770414,0
143,179,1,0.6398177275082075,1
144,1203,0,0.3589481672890807,0
145,1212,1,0.406962391458485,0
146,390,0,0.13667012740122025,0
147,770,0,0.13220104046474832,0
148,648,1,0.4954506433373805,0
149,1063,0,0.37359789070768384,0
150,1032,0,0.2549948024789416,0
151,665,0,0.16829369097215044,0
152,890,0,0.27716052509484335,0
153,1303,0,0.2783509157763931,0
154,1238,0,0.05546395894199737,0
155,269,0,0.1411160631134834,0
156,1020,0,0.2672205592081434,0
157,71,0,0.22599203102127777,0
158,1235,0,0.5125920087329271,1
159,559,0,0.2241329555472715,0
160,796,1,0.8499641997414624,1
161,98,0,0.0496102910158341,0
162,766,1,0.8315492550752406,1
163,904,1,0.5890687809246276,1
164,6,0,0.039375613337180086,0
165,420,1,0.560817036253073,1
166,579,0,0.4422856424973117,0
167,565,0,0.2500202632874989,0
168,837,1,0.8479496852648982,1
169,569,0,0.14867395909271955,0
170,1377,0,0.2940871131038126,0
171,915,0,0.26953070124804773,0
172,902,0,0.08482249697000907,0
173,200,0,0.03140481081243765,0
174,733,0,0.36981836052815764,0
175,947,0,0.25011704092182985,0
176,439,0,0.5991135680834744,1
177,943,0,0.12187263078705453,0
178,1004,0,0.4373951184313986,0
179,836,0,0.04265865727269784,0
180,554,0,0.216068511756561,0
181,372,0,0.2532873891445564,0
182,174,0,0.31300601405600487,0
183,1194,0,0.20575391345000135,0
184,1205,1,0.5512537410474071,1
185,187,0,0.16758645170895403,0
186,775,0,0.05023067466008478,0
187,646,0,0.09016286918092817,0
188,512,0,0.11405856741933207,0
189,679,0,0.23618381444889386,0
190,932,0,0.38324455155030734,0
191,1314,0,0.04631324717118164,0
192,281,0,0.1050504629850168,0
193,177,0,0.3716607152805393,0
194,905,0,0.20765041846688673,0
195,1072,0,0.3866114756338519,0
196,1366,0,0.5272846206573555,1
197,754,0,0.22167769173851984,0
198,60,0,0.12417389343799957,0
199,347,0,0.023365291705149043,0
200,362,0,0.07099425655645178,0
201,918,0,0.5468704002457934,1
202,580,0,0.2802872005130122,0
203,225,0,0.04547581938594334,0
204,805,0,0.17476187810844046,0
205,400,0,0.026628832106105466,0
206,769,0,0.48778964518601914,0
207,270,0,0.5144476836520909,1
208,285,0,0.16728834121486627,0
209,1221,0,0.5249113808021548,1
210,84,0,0.13764475455855132,0
211,224,0,0.12162757410008948,0
212,1016,0,0.4188284032072297,0
213,830,0,0.23332265205373792,0
214,661,0,0.21899836026627537,0
215,1055,0,0.053793840843594336,0
216,176,0,0.28004639960887284,0
217,741,0,0.09894108280367564,0
218,1262,0,0.16834168559844392,0
219,1143,0,0.0395498419479483,0
220,1373,0,0.2933632069890286,0
221,614,0,0.1240020306584705,0
222,631,0,0.19532880018834686,0
