gmtamesQSAR_ID,Strain,Endpoint,TrainValTest,SMILES
gmtamesQSAR_0126,TA100,Negative,Train,Cc1ccc2c(c1N)C(=O)c1ccccc1C2=O
gmtamesQSAR_0127,TA100,Negative,Train,CCC(CCC(C)O)COC(=O)c1ccccc1C(=O)O
gmtamesQSAR_0130,TA100,Negative,Train,COc1ccc([C@@H]2CC(=O)c3c(O)cc(O[C@@H]4O[C@H](CO[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)[C@@H](O)[C@H](O)[C@H]4O)cc3O2)cc1O
gmtamesQSAR_0132,TA100,Negative,Train,C1CCCCC1
gmtamesQSAR_0133,TA100,Positive,Train,Cc1ccc(NC2OC[C@@H](O)[C@@H](O)[C@@H]2O)cc1
gmtamesQSAR_0138,TA100,Positive,Train,O=Nc1ccc(Oc2ccccc2)cc1
gmtamesQSAR_0139,TA100,Negative,Train,CCOCCOC(=O)c1cc(Cc2ccc(N)c(C(=O)OCCOCC)c2)ccc1N
gmtamesQSAR_0140,TA100,Negative,Train,O=C(Nc1ccccc1)c1cc2ccccc2cc1O
gmtamesQSAR_0141,TA100,Negative,Train,Nc1ccc2nc3ccc(N)cc3[s+]c2c1
gmtamesQSAR_0142,TA100,Negative,Train,c1ccc2cc3c(cc2c1)-c1cccc2cccc-3c12
gmtamesQSAR_0143,TA100,Negative,Train,CCOC(C)=O
gmtamesQSAR_0145,TA100,Negative,Train,O=C(O)CCCc1c[nH]c2ccccc12
gmtamesQSAR_0147,TA100,Negative,Train,O=[N+]([O-])OCC(CO[N+](=O)[O-])(CO[N+](=O)[O-])CO[N+](=O)[O-]
gmtamesQSAR_0151,TA100,Negative,Train,CN(C)c1ccc(C2=C3C4=C(CCC3C3CCC(O)(CCCO)C3(C)C2)CC(=O)CC4)cc1
gmtamesQSAR_0152,TA100,Positive,Train,O=C1OCC(CBr)=C1Cl
gmtamesQSAR_0153,TA100,Negative,Train,CC(Br)C(=O)N(C)Cc1ccccc1
gmtamesQSAR_0158,TA100,Negative,Train,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO
gmtamesQSAR_0159,TA100,Negative,Train,O=C(Cn1cncn1)c1ccc(Oc2ccc(Cl)cc2)cc1Cl
gmtamesQSAR_0160,TA100,Positive,Train,CC(C)(C)c1ccc(C(=O)ON(OCc2ccccc2)C(=O)c2ccccc2)cc1
gmtamesQSAR_0164,TA100,Positive,Train,O=C(Cl)c1ccc(C(=O)Cl)cc1
gmtamesQSAR_0165,TA100,Negative,Train,C[C@H]1CC[C@@H]2[C@H](C)[C@H]3[C@@H](C[C@H]4[C@@H]5CC=C6C[C@H](O)CC[C@]6(C)[C@H]5CC[C@@]34C)N2C1
gmtamesQSAR_0166,TA100,Negative,Train,CCc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1
gmtamesQSAR_0168,TA100,Negative,Train,c1cnc2c(c1)ccc1cccnc12
gmtamesQSAR_0169,TA100,Positive,Train,Cc1c(N=[N+]([O-])c2cc([N+](=O)[O-])cc([N+](=O)[O-])c2C)cc([N+](=O)[O-])cc1[N+](=O)[O-]
gmtamesQSAR_0170,TA100,Negative,Train,O=C(CCl)c1ccccc1
gmtamesQSAR_0173,TA100,Positive,Train,O=[N+]([O-])c1ccc(N=Nc2c(O)ccc3ccccc23)c([N+](=O)[O-])c1
gmtamesQSAR_0176,TA100,Negative,Train,CC(O)COC(C)(C)C
gmtamesQSAR_0179,TA100,Negative,Train,ClC(Cl)=C(Cl)Cl
gmtamesQSAR_0180,TA100,Negative,Train,CN1CCN=C(c2ccccc2)c2cc(Cl)ccc21
gmtamesQSAR_0182,TA100,Negative,Train,CC(=O)OC(C)(C)C
gmtamesQSAR_0185,TA100,Negative,Train,NC(=O)C1CCCN1C(=O)C(Cc1c[nH]cn1)NC(=O)C1CCC(=O)N1
gmtamesQSAR_0186,TA100,Positive,Train,CCOC(=O)N(CCC=O)N=O
gmtamesQSAR_0187,TA100,Negative,Train,O[C@@H]1c2c3ccccc3cc3ccc4cccc(c4c23)[C@@H]1O
gmtamesQSAR_0189,TA100,Negative,Train,Cl/C=C(\Cl)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl
gmtamesQSAR_0190,TA100,Negative,Train,COc1cc(C=CC(=O)O)ccc1O
gmtamesQSAR_0191,TA100,Positive,Train,CC(=O)c1ccc([N+](=O)[O-])s1
gmtamesQSAR_0192,TA100,Negative,Train,N=c1c2ncn(Cc3ccccc3)c2ncn1O
gmtamesQSAR_0193,TA100,Positive,Train,O=C(NCc1ccccc1)C1CO1
gmtamesQSAR_0195,TA100,Negative,Train,CC(CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4CC(=O)CC[C@]4(C)[C@H]3CC(=O)[C@]12C
gmtamesQSAR_0196,TA100,Negative,Train,Nc1ccc(C=O)cc1
gmtamesQSAR_0197,TA100,Negative,Train,Cc1cccc2cccnc12
gmtamesQSAR_0198,TA100,Positive,Train,[O]C(=O)c1cc(N=Nc2ccc([N+](=O)[O-])cc2)ccc1O
gmtamesQSAR_0201,TA100,Positive,Train,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1
gmtamesQSAR_0202,TA100,Negative,Train,O=NN1C(C(=O)O)CSC1C(O)C(O)C(O)C(O)CO
gmtamesQSAR_0203,TA100,Negative,Train,CNC(=O)c1cc(C#N)cc(C)c1NC(=O)c1cc(Br)nn1-c1ncccc1Cl
gmtamesQSAR_0204,TA100,Negative,Train,COc1ccc(CCC(=O)c2c(O)cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O[C@@H]3O[C@@H](C)[C@H](O)[C@@H](O)[C@H]3O)cc2O)cc1O
gmtamesQSAR_0207,TA100,Negative,Train,O=c1cc(O)[nH]c2ccccc12
gmtamesQSAR_0208,TA100,Negative,Train,CCCCCCCCCC[N+](C)(C)CCCCCCCCCC
gmtamesQSAR_0211,TA100,Positive,Train,COc1ccc(CCC2CO2)cc1
gmtamesQSAR_0212,TA100,Negative,Train,Cc1ccc(N=[N+]([O-])c2ccc(C)c(N)c2)cc1N
gmtamesQSAR_0213,TA100,Negative,Train,CN1C(=O)CCC1c1cccnc1
gmtamesQSAR_0214,TA100,Negative,Train,CCN
gmtamesQSAR_0215,TA100,Negative,Train,NS(=O)(=O)c1ccccc1Cl
gmtamesQSAR_0216,TA100,Negative,Train,CCCCOc1ccc(/C=N/c2ccc(CC)cc2)cc1
gmtamesQSAR_0217,TA100,Negative,Train,CCNc1snc2ccccc12
gmtamesQSAR_0221,TA100,Negative,Train,OCNc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
gmtamesQSAR_0223,TA100,Negative,Train,Cc1cc(=O)c2c(O)c3c(O)cc(O)c4c5c(O)cc(O)c6c(=O)c7c(O)cc(C)c8c1c2c(c34)c(c65)c78
gmtamesQSAR_0224,TA100,Positive,Train,CC(C)(C)c1ccc(-c2ccc(N=O)cc2)cc1
gmtamesQSAR_0227,TA100,Negative,Train,C/C=C/CC#N
gmtamesQSAR_0228,TA100,Negative,Train,CCc1ccc(O)cc1
gmtamesQSAR_0231,TA100,Negative,Train,O=C(O)CCCOc1ccc(Cl)cc1Cl
gmtamesQSAR_0232,TA100,Negative,Train,CC(=O)Nc1ccc(N)cc1
gmtamesQSAR_0233,TA100,Positive,Train,CCCCOS(C)(=O)=O
gmtamesQSAR_0235,TA100,Positive,Train,O=[N+]([O-])c1ccc2c(c1)nc(/C=N/OCc1ccccc1[N+](=O)[O-])n2Cc1ccccc1
gmtamesQSAR_0236,TA100,Negative,Train,Nc1ccccc1C(=O)OCCc1ccccc1
gmtamesQSAR_0237,TA100,Negative,Train,Oc1ccccc1-c1ccccc1
gmtamesQSAR_0238,TA100,Positive,Train,O=C/C=C/c1ccccc1Cl
gmtamesQSAR_0239,TA100,Negative,Train,CCc1cc(NC(=O)c2c(OC)cccc2OC)on1
gmtamesQSAR_0241,TA100,Negative,Train,CCOCCOCCOC
gmtamesQSAR_0243,TA100,Positive,Train,CCOC(=O)C(C)(C#N)C1SNc2ccc([N+](=O)[O-])cc21
gmtamesQSAR_0246,TA100,Negative,Train,Oc1cccc(O)c1
gmtamesQSAR_0247,TA100,Negative,Train,c1ccc2c(c1)CC[C@@H]1CCC[C@@H]3O[C@]213
gmtamesQSAR_0248,TA100,Positive,Train,NC(CSCCCl)C(=O)O
gmtamesQSAR_0250,TA100,Positive,Train,O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1
gmtamesQSAR_0252,TA100,Positive,Train,CC(C)(C)c1ccc(-c2ccc([N+](=O)[O-])cn2)cc1
gmtamesQSAR_0256,TA100,Negative,Train,Nc1ccc2ccccc2c1N=Nc1ccccc1
gmtamesQSAR_0258,TA100,Negative,Train,CCCCCCCC(=O)O
gmtamesQSAR_0259,TA100,Positive,Train,ONc1cccc2ccccc12
gmtamesQSAR_0260,TA100,Negative,Train,CC(C)(C)c1ccccc1O
gmtamesQSAR_0263,TA100,Negative,Train,N#CCCC(=O)CCc1ccc(C(=O)O)cc1
gmtamesQSAR_0265,TA100,Positive,Train,ClCCl
gmtamesQSAR_0267,TA100,Negative,Train,OC/C=C\c1ccccc1
gmtamesQSAR_0269,TA100,Negative,Train,CCOC(=O)Nc1cccc(OC(=O)Nc2ccccc2)c1
gmtamesQSAR_0270,TA100,Positive,Train,C=CCCC1CO1
gmtamesQSAR_0272,TA100,Negative,Train,COc1cccc2c1cc1c3c(cc4c(c32)OCO4)C(=O)N1
gmtamesQSAR_0275,TA100,Negative,Train,COc1ccc2c(c1)[nH]c1c(C)nccc12
gmtamesQSAR_0278,TA100,Negative,Train,CNCCS(=O)(=O)O
gmtamesQSAR_0279,TA100,Positive,Train,Cc1ccc(O)c(N)c1
gmtamesQSAR_0280,TA100,Positive,Train,Nc1nc(-c2ccc([N+](=O)[O-])s2)cs1
gmtamesQSAR_0282,TA100,Positive,Train,CN(C)CCCNc1c2ccccc2nc2cc([N+](=O)[O-])ccc12
gmtamesQSAR_0288,TA100,Positive,Train,CN(C)CCCNc1c2ccccc2nc2c([N+](=O)[O-])cccc12
gmtamesQSAR_0289,TA100,Negative,Train,CCC1(c2ccccc2)C(=O)NCNC1=O
gmtamesQSAR_0290,TA100,Negative,Train,O=[N+]([O-])O[C@@H]1CO[C@H]2[C@@H]1OC[C@@H]2O
gmtamesQSAR_0292,TA100,Negative,Train,N#Cc1cccc(C#N)c1
gmtamesQSAR_0293,TA100,Negative,Train,C1COCCOCCOCCOCCO1
gmtamesQSAR_0295,TA100,Positive,Train,ClN1C2c3ccccc3-c3ccccc3C21
gmtamesQSAR_0296,TA100,Negative,Train,Nc1cc(Cl)ccc1O
gmtamesQSAR_0301,TA100,Negative,Train,Nc1ccc(C=Cc2ccc(N)cc2S(=O)(=O)O)c(S(=O)(=O)O)c1
gmtamesQSAR_0302,TA100,Negative,Train,Nc1ccc(C=Cc2ccccc2)cc1
gmtamesQSAR_0303,TA100,Negative,Train,COc1ccc2cc(CCC(C)=O)ccc2c1
gmtamesQSAR_0305,TA100,Positive,Train,COS(C)(=O)=O
gmtamesQSAR_0306,TA100,Negative,Train,O=NN1CCCCC1
gmtamesQSAR_0308,TA100,Negative,Train,N#CCBr
gmtamesQSAR_0309,TA100,Positive,Train,Clc1ccc(CN2C3c4ccccc4-c4ccccc4C32)cc1
gmtamesQSAR_0310,TA100,Negative,Train,CCCCCCCCCCC=Cc1cc(O)oc1O
gmtamesQSAR_0312,TA100,Negative,Train,CC(=O)c1cc2c(cc1C)C(C)(C)C(C)CC2(C)C
gmtamesQSAR_0313,TA100,Negative,Train,COc1cc(Cl)nnc1-c1ccccc1
gmtamesQSAR_0314,TA100,Positive,Train,CCN(CC[N+](C)(C)C)c1ccc(/N=N/c2ccc([N+](=O)[O-])cc2Cl)cc1
gmtamesQSAR_0315,TA100,Negative,Train,CCOC(=O)C(Cl)Cc1cc(-n2nc(C)n(C(F)F)c2=O)c(F)cc1Cl
gmtamesQSAR_0317,TA100,Positive,Train,CCCCCCOCC1CO1
gmtamesQSAR_0318,TA100,Positive,Train,O=c1oc2c([N+](=O)[O-])ccc3ccc4cccc1c4c32
gmtamesQSAR_0319,TA100,Negative,Train,CC(N)Cc1ccccc1
gmtamesQSAR_0321,TA100,Negative,Train,O=C(Nc1ccc2[nH]c(=O)[nH]c2c1)c1cc2ccccc2c(N=Nc2cc(Cl)ccc2Cl)c1O
gmtamesQSAR_0324,TA100,Negative,Train,C=C[C@H]1CN2CC[C@@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12
gmtamesQSAR_0325,TA100,Negative,Train,CCCn1cc2c3c(cccc31)[C@H]1C=C(C)CN(C)[C@@H]1C2
gmtamesQSAR_0326,TA100,Negative,Train,CC(C)(C)OOC(C)(C)C
gmtamesQSAR_0328,TA100,Negative,Train,Nc1ccc([N+](=O)[O-])cc1
gmtamesQSAR_0330,TA100,Negative,Train,O=C1c2ccccc2C(=O)c2cc(O)ccc21
gmtamesQSAR_0331,TA100,Positive,Train,Nc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1
gmtamesQSAR_0333,TA100,Positive,Train,Cc1cc(C)c(C)c(OC(=O)N(C)N=O)c1
gmtamesQSAR_0337,TA100,Negative,Train,CC(=O)Nc1ccc(Oc2ccccc2)cc1
gmtamesQSAR_0339,TA100,Negative,Train,COC(=O)CCC(=O)OC
gmtamesQSAR_0340,TA100,Negative,Train,COc1cc(OC)nc(NC(=O)NS(=O)(=O)Nc2ccccc2C(=O)N(C)C)n1
gmtamesQSAR_0342,TA100,Negative,Train,C=CC1(C)CCC2(C)C(C1)C(=O)CC1C3(C)CCCC12OC3=O
gmtamesQSAR_0343,TA100,Negative,Train,COc1ccc(CCl)cc1
gmtamesQSAR_0345,TA100,Positive,Train,CC(Cl)(Cl)Cl
gmtamesQSAR_0346,TA100,Negative,Train,O=[N+]([O-])c1ccccc1CO
gmtamesQSAR_0347,TA100,Negative,Train,CC(=O)c1ccc(C(=O)NN(C(=O)c2cc(C)cc(C)c2)C(C)(C)C)cc1
gmtamesQSAR_0348,TA100,Negative,Train,O=C(c1ccccc1)c1ccccc1
gmtamesQSAR_0349,TA100,Positive,Train,C(CCOCC1CO1)COCC1CO1
gmtamesQSAR_0351,TA100,Positive,Train,Oc1cc(O)c2ccccc2c1
gmtamesQSAR_0352,TA100,Negative,Train,CCCOc1cc(N=Nc2ccccc2)ccc1N=Nc1c(S([O])(=O)=O)cc2ccc(N)cc2c1O
gmtamesQSAR_0354,TA100,Negative,Train,CCN(Cc1cccc(S(=O)(=O)[O-])c1)c1ccc([C+](c2ccc(N(C)C)cc2)c2ccc(N(CC)Cc3cccc(S(=O)(=O)[O-])c3)cc2)cc1
gmtamesQSAR_0355,TA100,Positive,Train,O=c1c2ccc(OCC3CO3)cc2sn1CC1CO1
gmtamesQSAR_0357,TA100,Negative,Train,Cc1cnc(C)c(C)n1
gmtamesQSAR_0363,TA100,Negative,Train,Nc1ccc2ccccc2c1N=Nc1ccc([N+](=O)[O-])cc1
gmtamesQSAR_0364,TA100,Positive,Train,CCOCC1CO1
gmtamesQSAR_0365,TA100,Negative,Train,FC(F)(Br)C(F)(F)I
gmtamesQSAR_0367,TA100,Positive,Train,O=C1NC(=O)C(CBr)=C1Cl
gmtamesQSAR_0368,TA100,Negative,Train,CC(C)CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCC(C)C
gmtamesQSAR_0369,TA100,Negative,Train,CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1
gmtamesQSAR_0370,TA100,Positive,Train,[N-]=[N+]=NCC(O)Cn1ccc(N)nc1=O
gmtamesQSAR_0373,TA100,Negative,Train,CCc1cccc(O)c1
gmtamesQSAR_0374,TA100,Positive,Train,CC(=O)[C@]1(O)C=C2C(=O)c3c(c(O)c4c(O)cccc4c3O)C(=O)C2[C@@H](OC2CC(N)C(O)C(C)O2)C1
gmtamesQSAR_0375,TA100,Negative,Train,CC/C=C/C=C/C=C/C=C/C=O
gmtamesQSAR_0376,TA100,Positive,Train,c1scc2c1-c1cscc1C1OC21
gmtamesQSAR_0377,TA100,Negative,Train,CCCCOP(=O)(OCCCC)OCCCC
gmtamesQSAR_0378,TA100,Positive,Train,COc1ccc([C@H]2O[C@@H]2C)cc1
gmtamesQSAR_0380,TA100,Positive,Train,C=CCOCC1CO1
gmtamesQSAR_0382,TA100,Negative,Train,CCNc1nc(N)nc(Cl)n1
gmtamesQSAR_0383,TA100,Negative,Train,CCCCN(CCO)CCCC
gmtamesQSAR_0384,TA100,Positive,Train,CC(=O)OCC12OOC1(C)c1ccccc1O2
gmtamesQSAR_0385,TA100,Negative,Train,CS(=O)(=O)c1ccc(C(=O)O)c(Cl)c1
gmtamesQSAR_0386,TA100,Negative,Train,CCCCC(CC)COC(=O)c1ccc(N(C)C)c([N+](=O)[O-])c1
gmtamesQSAR_0387,TA100,Negative,Train,Nc1cc(C(=O)O)c(O)c(S(=O)(=O)O)c1
gmtamesQSAR_0388,TA100,Negative,Train,CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c1ccc(Cl)cc1
gmtamesQSAR_0391,TA100,Negative,Train,O=C(Nc1ccccc1)N(Cc1ccc(Cl)cc1)C1CCCC1
gmtamesQSAR_0392,TA100,Negative,Train,Cc1ccc(C)c(N=Nc2c(O)ccc3ccccc23)c1
gmtamesQSAR_0393,TA100,Positive,Train,O=C/C(=C(\Cl)C(=O)O)C(Cl)Cl
gmtamesQSAR_0394,TA100,Positive,Train,NC(=O)/C(=C\c1ccc([N+](=O)[O-])o1)c1ccco1
gmtamesQSAR_0396,TA100,Negative,Train,CC(=O)c1ccncc1
gmtamesQSAR_0398,TA100,Positive,Train,CC(=O)Oc1ccc2c(c1)C1(C)OOC1(C)O2
gmtamesQSAR_0399,TA100,Negative,Train,Cc1cc(Cl)cc2c(=O)n(C)c(-c3cc(Br)nn3-c3ncccc3Cl)nc12
gmtamesQSAR_0402,TA100,Negative,Train,NC(=O)Nc1ccccc1
gmtamesQSAR_0403,TA100,Negative,Train,O=C(Cl)c1ccc(Cl)cc1Cl
gmtamesQSAR_0404,TA100,Positive,Train,CC(=O)c1cccc2c1OC1(C)OOC21C
gmtamesQSAR_0407,TA100,Negative,Train,Oc1c(Br)cc(Br)cc1Br
gmtamesQSAR_0408,TA100,Negative,Train,CC(=O)c1cccc([N+](=O)[O-])c1
gmtamesQSAR_0409,TA100,Negative,Train,CC1C(c2ccc(Cl)cc2)SC(=O)N1C(=O)NC1CCCC(=O)C1
gmtamesQSAR_0413,TA100,Negative,Train,COc1cc(O)c2c(=O)c3c(O)ccc(O)c3oc2c1
gmtamesQSAR_0414,TA100,Positive,Train,Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)O
gmtamesQSAR_0415,TA100,Negative,Train,CC(=O)C(=NNc1ccc([N+](=O)[O-])cc1)C(=O)Nc1ccc2[nH]c(=O)[nH]c2c1
gmtamesQSAR_0420,TA100,Negative,Train,CC(=O)ON(C(C)=O)c1ccccc1C
gmtamesQSAR_0421,TA100,Negative,Train,[O]S(=O)(=O)c1ccc(N=Nc2ccc(N=Nc3c(S([O])(=O)=O)cc4cc(NC(=O)c5ccccc5)ccc4c3O)cc2)cc1
gmtamesQSAR_0424,TA100,Positive,Train,O=C(O)Cc1ccc([N+](=O)[O-])cc1
gmtamesQSAR_0426,TA100,Negative,Train,Cc1ccc(C)c(N)c1
gmtamesQSAR_0428,TA100,Negative,Train,COc1ccc(N=Nc2ccc(N(C)C)cc2)cn1
gmtamesQSAR_0429,TA100,Negative,Train,O=C(O)c1ccc(O)cc1
gmtamesQSAR_0430,TA100,Negative,Train,O[C@@H]1c2c(cc3ccc4cccc5ccc2c3c45)C=C[C@@H]1O
gmtamesQSAR_0433,TA100,Positive,Train,O=CC=CC=Cc1ccc([N+](=O)[O-])cc1
gmtamesQSAR_0434,TA100,Positive,Train,OCC(O)CI
gmtamesQSAR_0435,TA100,Positive,Train,c1ccc2c(c1)cc(C1CO1)c1ccccc12
gmtamesQSAR_0438,TA100,Negative,Train,C[C@@H]1NC(=O)S[C@H]1c1ccc(Cl)cc1
gmtamesQSAR_0440,TA100,Negative,Train,CCCC=O
gmtamesQSAR_0441,TA100,Negative,Train,C=CC(=O)OCC(C)C
